TreeID,TreePosX,TreePosY,TreePosZ,TreeHeight(metre),DBH(metre),CrownDiameter(metre),CrownDiameter(S-N)(metre),CrownDiameter(E-W)(metre),CrownArea(square metre),CrownVolume(cubic metre),OldID,Cluster
2335,230799.993,455011.982,0.971,3.0,0.382,3.2,3.8,3.6,7.8,12.8,11116,0
3268,230838.794,455099.373,1.302,3.0,0.873,1.6,2.1,1.4,2.1,3.2,15845,0
3106,230896.609,455001.897,0.886,3.0,1.067,3.7,4.2,4.2,10.5,16.3,14986,0
2925,230901.943,454983.419,1.059,3.0,1.102,2.1,1.5,3.1,3.6,7.0,14012,0
1689,230709.686,455070.481,0.709,3.1,0.055,1.6,1.6,2.0,2.1,2.5,8540,0
1525,230733.972,455082.122,0.346,3.1,0.103,2.6,3.0,3.5,5.3,7.0,8081,0
3057,230860.479,455077.707,1.19,3.1,0.117,1.8,2.2,2.0,2.7,5.5,14580,0
3248,230915.785,455162.977,1.215,3.1,0.128,1.9,2.3,1.9,2.9,6.7,15669,0
2960,230863.26,454981.145,0.36,3.1,0.142,1.8,1.8,2.4,2.5,4.5,14000,0
3048,230889.854,454994.738,0.444,3.1,0.192,2.4,2.8,2.4,4.4,8.9,14841,0
3071,230861.933,454978.361,1.171,3.1,0.201,1.5,1.8,1.6,1.8,3.0,14666,0
3126,230890.002,454990.86,1.359,3.1,0.213,1.3,1.5,1.4,1.3,2.2,15029,0
2193,230819.718,454950.859,0.539,3.1,0.218,3.4,3.9,3.7,9.0,10.9,10623,0
3221,230903.415,455127.917,0.806,3.1,0.27,1.5,1.7,1.5,1.7,2.0,15344,0
2946,230860.167,454977.655,1.05,3.1,0.28,0.8,1.1,0.9,0.6,0.9,14053,0
3001,230866.173,455056.275,0.483,3.1,0.288,5.3,4.8,7.4,22.1,22.7,14311,0
1740,230735.016,455105.254,0.619,3.1,0.341,1.9,2.1,2.3,2.9,3.3,8731,0
3230,230870.224,455096.865,1.182,3.1,0.345,1.4,1.6,1.5,1.6,3.1,15838,0
2135,230813.492,454951.13,0.703,3.1,0.398,2.2,2.4,2.5,3.9,4.8,10226,0
3271,230859.65,455088.938,1.001,3.1,0.399,1.0,1.2,1.0,0.9,1.4,15833,0
2383,230791.172,455054.597,1.07,3.1,0.585,1.2,1.0,1.5,1.0,2.1,11506,0
2943,230863.447,454977.669,0.957,3.1,0.599,1.6,1.5,1.9,2.0,3.9,14097,0
2332,230819.256,455076.972,1.036,3.1,0.69,7.2,7.9,6.8,40.3,44.3,10976,0
2337,230796.82,455008.196,0.894,3.1,0.75,2.8,2.2,4.7,6.0,12.0,11490,0
3254,230862.936,455135.94,1.053,3.1,0.847,2.5,2.8,2.9,4.8,6.8,15841,0
2922,230900.144,454948.639,1.007,3.1,0.906,1.2,1.0,1.5,1.1,1.6,14241,0
3178,230862.147,455094.2,0.941,3.1,1.216,1.8,1.9,1.9,2.7,5.2,15452,0
3224,230860.621,455101.081,0.988,3.1,1.39,2.3,2.2,2.5,4.0,8.1,15490,0
3080,230898.806,454999.552,0.964,3.1,1.539,3.2,3.4,3.7,7.8,14.4,14522,0
3090,230865.634,454985.401,1.318,3.2,0.125,0.8,0.8,1.0,0.5,1.0,14765,0
2158,230794.131,454997.167,0.856,3.2,0.201,2.6,3.6,2.5,5.5,9.5,10670,0
