Date,AAPL,BA,T,MGM,AMZN,IBM,TSLA,GOOG,sp500
2012-01-12,53146800,3934500,26511100,17891100,5385800,6881000,729300,3764400,4019890000
2012-01-13,56505400,4641100,22096800,16621800,4753500,5279200,5500400,4631800,3692370000
2012-01-17,60724300,3700100,23500200,15480800,5644500,6003400,4651600,3832800,4010490000
2012-01-18,69197800,4189500,22015000,18387600,7473500,4600600,1260200,5544000,4096160000
2012-01-19,65434600,5397300,25524000,14022900,7096000,8567200,1246300,12657800,4465890000
2012-01-20,103493600,4552300,26445100,13045100,5610300,12849700,662300,21231800,3912620000
2012-01-23,76515600,4083700,19186300,16764000,4585300,5751700,594600,6851300,3770910000
2012-01-24,136909500,4942700,24341100,11625500,4673800,5345700,858000,6134400,3693560000
2012-01-25,239578500,14049100,28136800,14149600,4306400,4359700,611200,10012700,4410910000
2012-01-26,80996300,4187400,56003200,13672700,5873600,4004700,1271100,6476500,4522070000
2012-01-27,74927300,4754600,36358500,13572800,4659000,3360400,748400,7262000,4007380000
2012-01-30,94835300,5043000,29433400,13227100,5424100,4359000,729000,4678400,3659010000
2012-01-31,97920900,4777200,29371200,11107600,12772200,4826800,956400,4300700,4235550000
2012-02-01,67511500,4296400,30615800,20493700,21336600,5088800,523200,4658700,4504360000
2012-02-02,46699100,3528100,25698100,18608200,8736300,3907300,805700,4847400,4120920000
2012-02-03,71649900,3472400,26294400,22931800,8120500,4521700,764500,6360700,4608550000
2012-02-06,62353200,4162500,23567300,18832100,5310000,3639800,652100,7386700,3379700000
2012-02-07,79055900,4438700,24180600,10817800,5103900,3433000,1021600,4199700,3742460000
2012-02-08,101972500,5350000,20115200,12588300,5476600,3803800,623700,3686400,4096730000
2012-02-09,221053700,4491100,18073900,14458000,7189200,3876400,1277100,4546300,4209890000
2012-02-10,157825500,3361700,25000200,17723200,5797100,3391100,1874200,4667700,3877580000
2012-02-13,129304000,3456500,23042700,10477400,6071400,2458800,1157900,3646100,3618040000
2012-02-14,115099600,4652000,21628300,10699600,9527100,3398100,1810800,3620900,3889520000
2012-02-15,376530000,4252400,23030300,14295400,7794400,4020900,2761800,4869900,4080340000
2012-02-16,236138000,4992800,23546700,11711300,12563800,3525500,2219700,5080700,4108880000
2012-02-17,133951300,4927300,31320000,10042700,7418100,3746500,1376700,4916400,3717640000
2012-02-21,151398800,3978100,25388800,29565900,6756500,3293600,1135800,4980100,3795200000
2012-02-22,120825600,3764800,15731900,31774000,5785400,3275800,1654600,3948700,3633710000
2012-02-23,142006900,4187200,22468900,19770100,5153800,8032700,820400,4125300,3786450000
2012-02-24,103768000,3347000,18273700,14104100,3668700,3353200,959900,3885600,3505360000
2012-02-27,136895500,5379400,30631900,22370900,3706200,3758400,606000,3641300,3648890000
2012-02-28,150096800,3667400,20298000,28850600,5764500,3167400,612200,5716400,3579120000
2012-02-29,238002800,4631800,26529700,16261600,5300300,5117100,535700,6297200,4482370000
2012-03-01,170817500,3343100,21582000,10549300,4936000,3560300,703500,4492000,3919240000
2012-03-02,107928100,2806600,23542400,15335400,3657800,3727400,550000,3158300,3283490000
2012-03-05,202281100,4156800,39273200,11866000,4682700,6938000,467000,3198400,3429480000
2012-03-06,202559700,5455700,25447700,15699700,5612200,5214700,573800,6372500,4191060000
2012-03-07,199630200,4279000,16542500,15081500,4951500,3346900,364900,2538400,3580380000
2012-03-08,129114300,3881200,18745600,13297800,4221500,3145800,633300,2700900,3543060000
2012-03-09,104729800,5535900,19202000,7330700,4510600,3178200,1553400,5361100,3639470000
2012-03-12,101820600,2833500,20570800,7032600,2587600,3119700,1963300,3350400,3081870000
2012-03-13,172713800,4532700,23764600,18959100,4405800,4866000,1001600,4508300,4386470000
2012-03-14,354711000,5297100,24506000,13165200,3699700,4602300,851500,5895700,4502280000
2012-03-15,289929500,4850700,20003200,15969000,4160100,3621100,571600,4888300,4271650000
2012-03-16,206371900,7079200,28666300,11470600,4934000,9637000,729300,6123800,5163950000
2012-03-19,225309000,2683800,19746000,10680800,3903400,3763200,1015600,4361800,3932570000
2012-03-20,204165500,4384000,18135100,10835900,9165400,3695100,567000,3092400,3695280000
2012-03-21,161010500,3644100,21085300,6682400,4214400,3329900,607200,4957600,3573590000
2012-03-22,155967700,4921400,80257500,11333300,3739600,3307800,522400,4838400,3740590000
2012-03-23,107622200,2518400,77769100,8641500,5984000,3036200,1170600,3894800,3472950000
2012-03-26,148935500,3715800,75567700,12406100,7613700,3418200,3140500,3651900,3576950000
2012-03-27,151782400,3510700,27904800,12234000,9600800,2704500,2539200,4029400,3513640000
2012-03-28,163865100,3412200,31387200,20402700,6245000,3265700,955000,5096700,3892800000
2012-03-29,152059600,3587600,28715500,13603300,5711200,3403700,796400,3862900,3832000000
2012-03-30,182759500,3203800,21745700,16245900,4438100,3215200,886400,4638700,3676890000
2012-04-02,149587900,4104600,21696800,9931000,6430300,3387900,1028600,4585400,3572010000
2012-04-03,208639900,3485900,22006400,9958800,5000700,4091500,1098100,4105000,3822090000
2012-04-04,143245200,2490500,26605900,14014300,5456900,4404000,4481800,3267300,3938290000
2012-04-05,160324500,2640200,21473600,9927000,3217500,3809000,1509400,4654700,3303740000
2012-04-09,149384200,2443400,19223300,8358500,3135900,3326900,1655700,4381600,3468980000
2012-04-10,222431300,5339000,34766600,18765300,4455000,4132900,1847700,4982500,4631730000
2012-04-11,174153700,5099900,21593600,11715400,4337800,3366200,1105500,4414300,3743040000
2012-04-12,153584200,3938800,19678900,12690500,4027900,2929600,1033900,11556300,3618280000
2012-04-13,214911200,3329100,25029500,12305500,3431800,3767000,649600,16379700,3631160000
2012-04-16,262696700,4800000,14736000,9146000,4044300,3826600,1099600,11426700,3574780000
2012-04-17,256382000,3345300,21704500,7581900,2829200,6065500,1115500,6070400,3456200000
2012-04-18,238632800,2248900,12861100,9064700,4001900,10153500,823100,5358900,3463140000
2012-04-19,208679800,3729300,16743800,15739800,4002400,5762900,774900,6613800,4180020000
2012-04-20,257746300,4302100,22069800,10807700,3243600,4758200,821800,6139700,3833320000
2012-04-23,241632300,5022100,27331000,14224100,3481000,3618800,890800,4411900,3654860000
2012-04-24,269037300,3664500,51905000,9294200,3376300,5626300,674500,3872600,3617100000
2012-04-25,226444400,10621200,28458400,8673300,3955100,4003400,712200,3655800,3998430000
2012-04-26,134017100,4704700,34743900,11494100,10234000,3302700,425300,4200600,4034700000
2012-04-27,101680600,4168700,24100000,9828000,22116900,3496900,591000,3284900,3645830000
2012-04-30,126536200,5811100,26651400,7732800,9756900,2773200,413900,4832600,3574010000
2012-05-01,152749800,4287600,28321400,7982300,6754900,2715900,659000,4019600,3807950000
2012-05-02,106847300,3073500,27929300,11026100,4593400,2360300,497300,3235000,3803860000
2012-05-03,97637400,3304800,24708200,24782100,4055500,2826600,841300,3749900,4004910000
2012-05-04,132498100,3366400,19111300,15807800,4585200,4023600,1247500,4431300,3975140000
2012-05-07,115029600,3551800,25771200,11788500,3314300,3373400,1158000,4003800,3559390000
2012-05-08,124313000,4033400,26660300,22122100,4522400,3881500,3097200,5374600,4261670000
2012-05-09,120176000,3926600,21595200,11288800,3712000,3742500,1947900,4675000,4288540000
